OBJECTID,UIDENTSTLA,ULAND,UREGBEZ,UKREIS,UGEMEINDE,UJAHR,UMONAT,USTUNDE,UWOCHENTAG,UKATEGORIE,UART,UTYP1,IstRad,IstPKW,IstFuss,IstKrad,IstSonstig,LICHT,STRZUSTAND,LINREFX,LINREFY,XGCSWGS84,YGCSWGS84
109489,7.17121E+18,7,3,14,0,2017,12,8,6,2,0,7,0,0,1,0,1,0,0,4.55032E+20,5.4822E+21,8.37908E+15,4.94908E+16
109490,7.17121E+18,7,3,14,0,2017,12,21,6,3,2,2,0,1,0,0,0,2,1,4.56123E+20,5.48662E+21,8.39365E+15,4.95306E+16
109491,7.17121E+18,7,3,14,0,2017,12,11,6,3,1,6,0,1,0,0,0,0,0,4.55932E+20,5.48717E+21,8.39094E+15,4.95356E+16
109492,7.17122E+18,7,3,15,0,2017,12,19,6,3,4,2,0,1,0,0,0,2,1,4.46145E+20,5.5394E+21,8.24847E+15,5.00044E+16
109493,7.17121E+18,7,3,33,26,2017,12,12,6,3,1,7,0,1,0,0,1,0,2,4.31235E+20,5.49227E+21,8.04877E+15,4.95791E+16
109494,7.17122E+18,7,1,43,48,2017,12,23,2,1,8,1,0,1,0,0,1,2,1,4.17394E+20,5.58886E+21,7.83655E+15,5.04459E+16
109495,7.17122E+18,7,3,35,37,2017,12,11,6,3,5,2,0,1,0,0,0,0,1,4.00466E+20,5.47006E+21,7.62884E+15,4.93751E+16
109496,7.17122E+18,7,1,43,59,2017,12,3,2,3,1,1,0,1,0,0,1,2,2,4.09537E+20,5.59552E+21,7.7243E+15,5.05047E+16
109497,7.17113E+18,7,1,37,203,2017,11,9,7,3,9,1,0,1,0,0,0,2,1,3.98263E+20,5.58634E+21,7.56788E+15,5.04203E+16
109498,7.17122E+18,7,3,39,30,2017,12,8,7,3,5,2,0,1,0,0,0,0,0,4.30359E+20,5.5372E+21,8.02861E+15,4.99831E+16
109499,7.17121E+18,7,3,31,3,2017,12,16,6,1,5,3,0,1,0,0,0,0,0,4.32048E+20,5.51148E+21,8.05667E+15,4.97519E+16
109500,7.17113E+18,7,1,37,89,2017,11,15,7,3,8,1,0,1,0,0,0,0,1,3.79749E+20,5.57523E+21,7.31091E+15,5.03169E+16
109501,7.17121E+18,7,3,39,49,2017,12,19,6,3,2,6,0,1,0,0,0,2,0,4.53934E+20,5.52285E+21,8.35913E+15,4.98563E+16
109502,7.17112E+18,7,3,40,54,2017,11,19,6,2,6,4,0,1,1,0,0,2,1,4.01702E+20,5.45999E+21,7.64834E+15,4.92847E+16
