OBJECTID_1,ULAND,UREGBEZ,UKREIS,UGEMEINDE,UJAHR,UMONAT,USTUNDE,UWOCHENTAG,UKATEGORIE,UART,UTYP1,ULICHTVERH,IstRad,IstPKW,IstFuss,IstKrad,IstGkfz,IstSonstig,STRZUSTAND,LINREFX,LINREFY,XGCSWGS84,YGCSWGS84
202903,11,0,7,7,2018,7,17,4,3,0,6,0,0,1,0,1,0,0,0,7.96338E+20,5.8253E+21,1.33662E+16,5.24971E+16
202904,11,0,7,7,2018,7,17,5,3,6,4,0,0,1,1,0,0,0,1,7.97018E+20,5.81977E+21,1.33713E+16,5.24472E+16
202905,11,0,1,1,2018,7,17,4,3,5,3,0,0,1,0,0,0,0,0,7.95003E+20,5.83066E+21,1.33514E+16,5.25459E+16
202906,11,0,9,9,2018,7,17,5,3,6,2,0,0,0,1,0,0,1,1,8.08895E+20,5.81935E+21,1.35451E+16,5.24368E+16
202907,11,0,9,9,2018,7,19,1,3,3,6,0,1,1,0,0,0,0,1,8.11411E+20,5.8196E+21,1.35822E+16,5.24377E+16
202908,11,0,6,6,2018,7,16,4,3,5,2,0,1,1,0,0,0,0,0,7.95065E+20,5.81815E+21,1.33412E+16,5.24338E+16
202909,11,0,5,5,2018,7,17,1,3,5,2,0,0,1,0,0,0,0,0,7.83698E+20,5.83018E+21,1.31847E+16,5.25476E+16
202910,11,0,3,3,2018,7,19,5,3,5,3,0,1,1,0,0,0,0,1,8.02773E+20,5.83155E+21,1.34664E+16,5.25496E+16
202911,11,0,1,1,2018,7,12,5,3,0,1,0,0,0,0,1,0,0,1,7.96772E+20,5.82881E+21,1.33757E+16,5.25284E+16
202912,11,0,8,8,2018,7,19,1,3,6,4,0,0,1,1,0,0,0,0,8.05275E+20,5.81624E+21,1.34892E+16,5.2411E+16
202913,11,0,3,3,2018,7,15,4,3,5,2,0,1,1,0,0,0,0,0,8.03155E+20,5.83221E+21,1.34726E+16,5.25553E+16
202914,11,0,11,11,2018,7,17,1,3,1,5,0,1,1,0,0,0,0,0,8.08067E+20,5.82379E+21,1.35371E+16,5.24772E+16
202915,11,0,2,2,2018,7,19,5,2,0,7,0,0,1,0,0,0,0,1,8.03572E+20,5.82696E+21,1.3474E+16,5.25081E+16
202916,11,0,8,8,2018,7,13,1,3,3,6,0,1,1,0,0,0,0,0,8.01612E+20,5.81742E+21,1.34366E+16,5.24236E+16
202917,11,0,4,4,2018,7,16,4,3,5,3,0,0,1,0,0,0,0,0,7.91745E+20,5.82732E+21,1.33005E+16,5.25177E+16
202918,11,0,7,7,2018,7,7,1,3,2,6,0,0,1,0,0,0,0,0,7.94966E+20,5.82317E+21,1.33442E+16,5.24788E+16
202919,11,0,12,12,2018,7,21,5,2,0,1,2,0,0,0,1,0,0,1,7.92055E+20,5.83337E+21,1.33104E+16,5.25718E+16
202920,11,0,1,1,2018,7,21,5,3,5,2,2,1,1,0,0,0,0,1,7.98666E+20,5.82856E+21,1.34033E+16,5.25251E+16
202921,11,0,7,7,2018,7,12,1,3,5,2,0,0,1,0,0,0,0,0,7.97354E+20,5.82194E+21,1.33781E+16,5.24664E+16
202922,11,0,3,3,2018,7,15,4,3,0,7,0,1,0,0,0,0,0,0,7.98977E+20,5.83783E+21,1.34163E+16,5.26081E+16
202923,11,0,9,9,2018,7,9,1,2,5,3,0,1,1,0,0,0,0,0,8.17079E+20,5.8171E+21,1.3663E+16,5.2412E+16
202924,11,0,8,8,2018,7,23,5,2,6,2,2,0,1,1,0,0,0,1,8.01547E+20,5.82381E+21,1.34414E+16,5.2481E+16
202925,11,0,11,11,2018,7,15,4,3,5,3,0,1,1,0,0,0,0,0,8.03418E+20,5.82879E+21,1.34734E+16,5.25245E+16
202926,11,0,11,11,2018,7,23,5,3,5,3,2,1,1,0,0,0,0,1,8.02426E+20,5.82889E+21,1.34589E+16,5.2526E+16
202927,11,0,7,7,2018,7,9,1,3,5,2,0,0,1,0,0,0,0,0,7.98865E+20,5.81722E+21,1.33961E+16,5.24233E+16
202928,11,0,7,7,2018,7,15,4,3,0,2,0,0,1,0,1,0,0,1,7.97827E+20,5.82258E+21,1.33857E+16,5.24719E+16
202929,11,0,9,9,2018,7,8,1,3,5,2,0,0,1,0,1,0,0,0,8.05017E+20,5.8227E+21,1.34913E+16,5.24691E+16
202930,11,0,3,3,2018,7,15,5,2,5,2,0,1,1,0,0,0,0,1,8.01966E+20,5.82973E+21,1.34529E+16,5.25338E+16
202931,11,0,12,12,2018,7,15,5,3,2,2,0,1,1,0,0,0,0,1,7.90667E+20,5.83548E+21,1.32918E+16,5.25915E+16
202932,11,0,1,1,2018,7,4,1,3,8,1,2,0,1,1,0,0,0,0,7.94607E+20,5.82986E+21,1.33448E+16,5.2539E+16
202933,11,0,7,7,2018,7,22,4,3,0,1,2,1,0,0,0,0,0,0,7.96217E+20,5.82533E+21,1.33645E+16,5.24975E+16
202934,11,0,2,2,2018,7,1,1,3,1,5,2,1,1,0,0,0,0,0,7.99953E+20,5.82476E+21,1.34188E+16,5.24903E+16
